rank;artist;track_name;date_added;track_id;popularity
1;Figo i Samogony;Erotyczne Pif-Paf;2023-12-31 08:57:00;5dQ174Gi0u3FOq0xF32PEr;60
2;NIKOŚ;HIPNOZA;2023-12-31 08:57:00;4EHHB2Gfa9d4iPx8JsCd65;73
3;Mata;W KRAJU SCHABOWYCH KOTLETÓW;2023-12-31 08:57:00;2r0tCQsTvEwkKEcZ9pYwZt;61
4;Blacha 2115;Kevin sam w domu;2023-12-31 08:57:00;0DhKkQjcrOXLBr9eCtocfc;68
5;bambi;BFF;2023-12-31 08:57:00;1kuhnhugcuXf4CiNdqCRUU;73
6;Lanberry;Dzięki, że jesteś;2023-12-31 08:57:00;5Qw74vxmtJzAEYjy1wfVCk;69
7;Gibbs;Stan;2023-12-31 08:57:00;33FD8jBm5LZaQ2jJS3vXzm;64
8;Mata;JOEY TRIBBIANI;2023-12-31 08:57:00;5fLvitH2z3igxp5haldJhc;58
9;The Kolors;ITALODISCO;2023-12-31 08:57:00;3QAU2pj4LUKf7yaTgANlQV;77
10;L.U.C.;Autumn Dance;2023-12-31 08:57:00;78hH2iGVmsmdPk50AhU2F4;48
11;Kalwi & Remi;Explosion Ech poleczko - DNSQ Remix;2023-12-31 08:57:00;3QHZAr43uvIGpWfJAHhFX3;69
12;PRO8L3M;Miyabi;2023-12-31 08:57:00;2GgLLdsRjbiAtN5nfm7i7i;68
13;Kleks;Całkiem Nowa Bajka;2023-12-31 08:57:00;33zbrcm0cYIxT5YvEGlFDl;63
14;Blacha 2115;Jolie Jolie;2023-12-31 08:57:00;2JJ6WnAfVglnYfxZubSukn;70
15;Ofenbach;Overdrive (feat. Norma Jean Martine);2023-12-31 08:57:00;3bK1zVFBKIzYjmptmI4NsJ;83
16;Tate McRae;greedy;2023-12-31 08:57:00;3rUGC1vUpkDG9CZFHMur1t;97
17;Kenya Grace;Strangers;2023-12-31 08:57:00;5mjYQaktjmjcMKcUIcqz4s;94
18;Smolasty;Nim Zajdzie Słońce;2023-12-31 08:57:00;1NtvjagHJRLQogzWVhpghv;70
19;Kleks;Jestem Twoją Bajką;2023-12-31 08:57:00;4qN8jx5g3h1oKz95qr3bF0;56
