track_id;rank;track_name;artist;date_added;popularity
5dQ174Gi0u3FOq0xF32PEr;1;Erotyczne Pif-Paf;Figo i Samogony;2024-01-09 09:55:31;71
6epWbDEEEOakzBeyNr69MO;2;Plaster;Szpaku;2024-01-09 09:55:31;60
4EHHB2Gfa9d4iPx8JsCd65;3;HIPNOZA;NIKOŚ;2024-01-09 09:55:31;76
5Qw74vxmtJzAEYjy1wfVCk;4;Dzięki, że jesteś;Lanberry;2024-01-09 09:55:31;73
4qN8jx5g3h1oKz95qr3bF0;5;Jestem Twoją Bajką;Kleks;2024-01-09 09:55:31;61
7nl0YfumgokUqNDfVlYvkd;6;Garfield;Szpaku;2024-01-09 09:55:31;59
1kuhnhugcuXf4CiNdqCRUU;7;BFF;bambi;2024-01-09 09:55:31;76
0DhKkQjcrOXLBr9eCtocfc;8;Kevin sam w domu;Blacha 2115;2024-01-09 09:55:31;72
33zbrcm0cYIxT5YvEGlFDl;9;Całkiem Nowa Bajka;Kleks;2024-01-09 09:55:31;67
2GgLLdsRjbiAtN5nfm7i7i;10;Miyabi;PRO8L3M;2024-01-09 09:55:31;71
0JvlaGyGok0jMp8wCQhI9p;11;NIENAWIDZĘ WARSZAWY!;Chivas;2024-01-09 09:55:31;66
33FD8jBm5LZaQ2jJS3vXzm;12;Stan;Gibbs;2024-01-09 09:55:31;66
3rUGC1vUpkDG9CZFHMur1t;13;greedy;Tate McRae;2024-01-09 09:55:31;99
5XVUws9S5FP89vNdxrysfp;14;Anioł Stróż;Szpaku;2024-01-09 09:55:31;57
3XWr2NZqYd80MB8FIq9r55;15;Ne Rozumiju;Vixen;2024-01-09 09:55:31;70
2r0tCQsTvEwkKEcZ9pYwZt;16;W KRAJU SCHABOWYCH KOTLETÓW;Mata;2024-01-09 09:55:31;69
1NtvjagHJRLQogzWVhpghv;17;Nim Zajdzie Słońce;Smolasty;2024-01-09 09:55:31;73
30r5RN2yGoKzanggEzqrzM;18;Fluid;ReTo;2024-01-09 09:55:31;63
2PF5O4wQHtD9KpxNALuoBD;19;Ciapakwybujany;GM2L;2024-01-09 09:55:31;70
2JJ6WnAfVglnYfxZubSukn;20;Jolie Jolie;Blacha 2115;2024-01-09 09:55:31;73
1fBrFnMzvb5WetxfgadcH9;21;Animal Planet;Szpaku;2024-01-09 09:55:31;57
78hH2iGVmsmdPk50AhU2F4;22;Autumn Dance;L.U.C.;2024-01-09 09:55:31;51
5mjYQaktjmjcMKcUIcqz4s;23;Strangers;Kenya Grace;2024-01-09 09:55:31;96
3bK1zVFBKIzYjmptmI4NsJ;24;Overdrive (feat. Norma Jean Martine);Ofenbach;2024-01-09 09:55:31;86
3QHZAr43uvIGpWfJAHhFX3;25;Explosion Ech poleczko - DNSQ Remix;Kalwi & Remi;2024-01-09 09:55:31;72
0h3Xy4V4apMraB5NuM8U7Z;26;Stumblin' In;CYRIL;2024-01-09 09:55:31;75
3QAU2pj4LUKf7yaTgANlQV;27;ITALODISCO;The Kolors;2024-01-09 09:55:31;80
6g76ndArDHwMe3OsrYxKiu;28;PASEK PLAYBOYA;MIÜ;2024-01-09 09:55:31;63
3moDqdYK90QDw3Lk9q5yDE;29;Mam Cię;Paluch;2024-01-09 09:55:31;71
4OMJGnvZfDvsePyCwRGO7X;30;Houdini;Dua Lipa;2024-01-09 09:55:31;93
2WBejVahXeC1gjCXVOlgbq;31;JEREMY SOCHAN;Oki;2024-01-09 09:55:31;72
49pLSmIFXk7rTfWcQ2Bvh7;32;Nicea;PRO8L3M;2024-01-09 09:55:31;67
1Eaiv6OMMwO3v4iWl4eHHY;33;Motyle;Sylwia Grzeszczak;2024-01-09 09:55:31;55
4u3pVIKFDquOVeyvkc1Hjh;34;5 INFLUENCEREK;Zeamsone;2024-01-09 09:55:31;69
1cnkQScXEGBZKqqy6EjVZo;35;NIE MA CIĘ;Fukaj;2024-01-09 09:55:31;69
3mzugJrKyhJNzZKS0RgWBg;36;MILLIE WALKY;bambi;2024-01-09 09:55:31;63
4vhYckF7yzomDdqoHb3dIl;37;Kulig;Kaz Bałagane;2024-01-09 09:55:31;69
7CyPwkp0oE8Ro9Dd5CUDjW;38;One Of The Girls (with JENNIE, Lily Rose Depp);The Weeknd;2024-01-09 09:55:31;96
2FHBvsUs4tpHSzIi3GvRjK;39;Ground Zero;PRO8L3M;2024-01-09 09:55:31;69
1odExI7RdWc4BT515LTAwj;40;Daylight;David Kushner;2024-01-09 09:55:31;95
59NraMJsLaMCVtwXTSia8i;41;Prada;cassö;2024-01-09 09:55:31;94
5fLvitH2z3igxp5haldJhc;42;JOEY TRIBBIANI;Mata;2024-01-09 09:55:31;66
