track_id;rank;track_name;artist;date_added;popularity
4EHHB2Gfa9d4iPx8JsCd65;1;HIPNOZA;NIKOŚ;2023-12-16 09:39:00;69
2WBejVahXeC1gjCXVOlgbq;28;JEREMY SOCHAN;Oki;2023-12-16 09:39:00;73
0X1bF7CkMCif03ygcSDVOj;29;Całkiem Nowa Bajka;Kleks;2023-12-16 09:39:00;62
1NtvjagHJRLQogzWVhpghv;30;Nim Zajdzie Słońce;Smolasty;2023-12-16 09:39:00;73
3XWr2NZqYd80MB8FIq9r55;31;Ne Rozumiju;Vixen;2023-12-16 09:39:00;67
4vhYckF7yzomDdqoHb3dIl;32;Kulig;Kaz Bałagane;2023-12-16 09:39:00;68
4kKdvXD0ez7jp1296JmAts;33;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;2023-12-16 09:39:00;90
4u3pVIKFDquOVeyvkc1Hjh;34;5 INFLUENCEREK;Zeamsone;2023-12-16 09:39:00;69
0oPdaY4dXtc3ZsaG17V972;35;Feliz Navidad;José Feliciano;2023-12-16 09:39:00;87
5mjYQaktjmjcMKcUIcqz4s;36;Strangers;Kenya Grace;2023-12-16 09:39:00;97
5Qw74vxmtJzAEYjy1wfVCk;37;Dzięki, że jesteś;Lanberry;2023-12-16 09:39:00;69
2GgLLdsRjbiAtN5nfm7i7i;27;Miyabi;PRO8L3M;2023-12-16 09:39:00;68
6IyM1d0DOlb8S3tUGi7wPB;39;Coraz Bliżej Święta;Margaret;2023-12-16 09:39:00;66
21YWx0gmPFS6mjc1W8zahk;41;eXplosion;PRO8L3M;2023-12-16 09:39:00;0
2oILgeSykGjl0N9m0VvAjO;42;TYLE SŁOŃCA;White Widow;2023-12-16 09:39:00;71
2Pw2kbN6n0EV1CyrToVEaB;43;Na grobie rycerz (M. Konopnicka);sanah;2023-12-16 09:39:00;25
3bK1zVFBKIzYjmptmI4NsJ;44;Overdrive (feat. Norma Jean Martine);Ofenbach;2023-12-16 09:39:00;83
4Yg2w0P29BBBMixyeNjDtj;45;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-16 09:39:00;88
1cnkQScXEGBZKqqy6EjVZo;46;NIE MA CIĘ;Fukaj;2023-12-16 09:39:00;69
1B07pX8AvSPHz4WTEV0RsW;47;KŁAMSTWA;Mortal;2023-12-16 09:39:00;65
3wFLM2kGVGcin9MK3ueKFL;48;S-class;PRO8L3M;2023-12-16 09:39:00;68
